#{"t_start": 1758336372.667345, "env_id": "Reacher-v5"}
r,l,t
-42.356371,50,0.050502
-42.545221,50,0.065016
-49.222696,50,0.079016
-39.15329,50,0.092019
-43.408546,50,0.10654
-42.80407,50,0.120549
-50.090842,50,0.133642
-40.422516,50,0.148152
-42.612657,50,0.161383
-42.235901,50,0.176234
-50.236531,50,0.189234
-41.049251,50,0.201746
-39.214421,50,0.215746
-41.251428,50,0.228754
-41.680933,50,0.242297
-37.064782,50,0.256298
-45.146236,50,0.270298
-40.007847,50,0.283298
-42.568733,50,0.297329
-46.390877,50,0.313846
-40.571112,50,0.344896
-43.383494,50,0.358407
-46.044046,50,0.372408
-41.411424,50,0.386409
-42.620799,50,0.399927
-40.745496,50,0.413927
-49.287939,50,0.426938
-47.2517,50,0.440455
-40.482111,50,0.45398
-44.510083,50,0.46698
-46.710219,50,0.480981
-43.393641,50,0.493498
-35.476997,50,0.507498
-45.366753,50,0.520506
-48.845503,50,0.534024
-40.547053,50,0.549447
-42.463081,50,0.562968
-41.545069,50,0.575969
-34.651088,50,0.588969
-46.516792,50,0.602479
-36.575045,50,0.628492
-47.973091,50,0.642015
-44.108592,50,0.663579
-43.530903,50,0.685532
-34.945609,50,0.699051
-42.845274,50,0.713055
-42.977794,50,0.726083
-43.544053,50,0.740119
-42.295153,50,0.754118
-47.779891,50,0.767119
-39.276284,50,0.781118
-37.678871,50,0.794119
-50.920529,50,0.807638
-38.917103,50,0.821644
-39.083188,50,0.837153
-46.284559,50,0.850674
-39.522259,50,0.863674
-46.286017,50,0.876677
-37.921362,50,0.890676
-45.725019,50,0.903197
-44.853112,50,0.9312
-44.00394,50,0.944828
-44.069035,50,0.957831
-47.425955,50,0.971827
-48.860693,50,0.984829
-42.855148,50,0.997352
-41.652651,50,1.01057
-43.644421,50,1.028961
-47.593933,50,1.042521
-41.186692,50,1.055032
-39.824847,50,1.069035
-49.137137,50,1.082031
-45.606731,50,1.095031
-48.753957,50,1.109543
-37.266454,50,1.124268
-44.207658,50,1.166945
-40.537376,50,1.180948
-37.397816,50,1.195466
-36.731604,50,1.209466
-41.608417,50,1.222474
-40.226344,50,1.251568
-44.654444,50,1.264563
-44.63758,50,1.277563
-42.681721,50,1.291077
-41.085436,50,1.304076
-43.159272,50,1.318135
-36.983798,50,1.331136
-44.958052,50,1.344695
-42.690994,50,1.358172
-41.418043,50,1.371174
-42.381199,50,1.385174
-47.333291,50,1.397174
-39.530658,50,1.411691
-53.822222,50,1.424699
-47.343272,50,1.438216
-40.336352,50,1.451742
-44.014276,50,1.465738
-41.629764,50,1.479738
-43.254929,50,1.492249
-43.240137,50,1.506254
-40.477655,50,1.533787
-42.529089,50,1.548308
-47.781556,50,1.561309
-43.288154,50,1.575307
-45.830543,50,1.589307
-41.215065,50,1.601816
-41.651179,50,1.615826
-45.752123,50,1.629835
-44.21685,50,1.643356
-45.86224,50,1.656875
-46.502702,50,1.669874
-42.673118,50,1.683874
-45.381397,50,1.697392
-42.148316,50,1.710392
-39.712859,50,1.724402
-36.71602,50,1.737922
-41.173181,50,1.752442
-44.847443,50,1.765443
-40.395132,50,1.779441
-35.481731,50,1.79296
-41.855796,50,1.820967
-40.226173,50,1.834484
-45.453232,50,1.848003
-45.223393,50,1.862004
-39.341629,50,1.876005
-39.781131,50,1.889004
-39.978239,50,1.902521
-49.080429,50,1.916521
-42.609995,50,1.929531
-45.098141,50,1.94305
-42.889351,50,1.956569
-47.774296,50,1.970571
-42.32172,50,1.98457
-44.613433,50,1.998086
-42.207638,50,2.011086
-38.89264,50,2.026103
-43.302818,50,2.040422
-40.769259,50,2.053657
-43.073744,50,2.06765
-46.027141,50,2.080652
-42.618052,50,2.110161
-39.884318,50,2.124169
-38.095701,50,2.137686
-39.871399,50,2.151209
-42.969382,50,2.16421
-40.992194,50,2.17821
-43.73681,50,2.192208
-42.066987,50,2.204727
-36.623421,50,2.218494
-50.227924,50,2.232181
-44.141988,50,2.245704
-45.29804,50,2.260226
-43.457599,50,2.273226
-45.600388,50,2.287225
-41.873154,50,2.300742
-41.15518,50,2.315742
-41.892286,50,2.32875
-43.214153,50,2.342852
-48.038543,50,2.355851
-38.277652,50,2.369857
-45.074452,50,2.397369
-41.824288,50,2.410371
-44.531703,50,2.424379
-37.586939,50,2.437899
-45.609219,50,2.452004
-46.613755,50,2.465487
-44.125367,50,2.478486
-42.371684,50,2.492486
-40.473759,50,2.506006
-40.304743,50,2.520015
-44.367389,50,2.533521
-46.921314,50,2.547048
-37.649189,50,2.561048
-48.721303,50,2.574049
-40.547441,50,2.588078
-46.443044,50,2.602597
-42.609724,50,2.616597
-45.28245,50,2.630606
-41.707467,50,2.643579
-42.936997,50,2.65758
-44.491696,50,2.685581
-38.214146,50,2.69858
-40.70762,50,2.712098
-41.163538,50,2.726106
-48.871289,50,2.740616
-40.478784,50,2.754128
-47.970313,50,2.767144
-38.184868,50,2.781127
-40.949943,50,2.794127
-46.314552,50,2.817645
-38.580307,50,2.833649
-45.164388,50,2.846671
-42.915042,50,2.860671
-45.495719,50,2.874672
-47.512588,50,2.888671
-45.075767,50,2.903185
-40.324791,50,2.917186
-47.524555,50,2.930192
-46.847112,50,2.944215
-38.960091,50,2.957214
-43.264826,50,3.681722
-54.117927,50,4.459364
-42.756565,50,5.188406
-45.310884,50,5.905711
-44.019074,50,6.62728
-39.451687,50,7.340484
-45.567333,50,8.063097
-39.808455,50,8.803256
-38.624779,50,9.535541
-46.13003,50,10.285323
-45.410176,50,11.056309
-47.456776,50,11.78922
-39.593969,50,12.521586
-44.568144,50,13.262485
-39.268144,50,14.034827
-37.099593,50,14.821915
-43.512748,50,15.603125
-34.808756,50,16.359635
-35.723987,50,17.117252
-38.031659,50,17.888575
-35.516192,50,18.665913
-33.105682,50,19.453114
-36.033781,50,20.238303
-40.732957,50,21.012955
-32.640718,50,21.831485
-30.048253,50,22.599922
-32.056639,50,23.364933
-37.411529,50,24.135314
-35.770124,50,24.920333
-31.407661,50,25.679795
-29.841214,50,26.452407
-35.570018,50,27.275332
-26.774255,50,28.065764
-36.883462,50,28.847785
-25.400396,50,29.656429
